ID,FPS,LOOPTYPE,,
TitleMonsterImage3,16,1,,
,,,,
TEXTURE_ID,LEFT,TOP,WIDTH,HEIGHT
graphics/TitleMonsterImage3.png,14,9,39,46
graphics/TitleMonsterImage3.png,81,9,41,46
graphics/TitleMonsterImage3.png,146,11,45,44
graphics/TitleMonsterImage3.png,212,12,46,43
graphics/TitleMonsterImage3.png,279,11,48,44
graphics/TitleMonsterImage3.png,345,12,48,43
graphics/TitleMonsterImage3.png,414,11,45,44
graphics/TitleMonsterImage3.png,483,9,41,46
graphics/TitleMonsterImage3.png,550,9,39,46
graphics/TitleMonsterImage3.png,617,9,40,46
graphics/TitleMonsterImage3.png,14,72,41,46
graphics/TitleMonsterImage3.png,79,74,44,44
graphics/TitleMonsterImage3.png,146,74,44,44
graphics/TitleMonsterImage3.png,212,75,46,43
graphics/TitleMonsterImage3.png,279,74,47,44
graphics/TitleMonsterImage3.png,345,75,47,43
graphics/TitleMonsterImage3.png,414,74,44,44
graphics/TitleMonsterImage3.png,483,72,41,46
graphics/TitleMonsterImage3.png,550,72,39,46
graphics/TitleMonsterImage3.png,617,72,40,46
graphics/TitleMonsterImage3.png,14,135,41,46
graphics/TitleMonsterImage3.png,79,137,43,44
graphics/TitleMonsterImage3.png,144,138,46,43
graphics/TitleMonsterImage3.png,210,137,48,44
graphics/TitleMonsterImage3.png,278,138,46,43
graphics/TitleMonsterImage3.png,347,137,43,44
graphics/TitleMonsterImage3.png,416,135,40,46
graphics/TitleMonsterImage3.png,483,135,39,46
graphics/TitleMonsterImage3.png,550,135,39,46
graphics/TitleMonsterImage3.png,617,135,41,46
graphics/TitleMonsterImage3.png,12,200,45,44
graphics/TitleMonsterImage3.png,78,201,47,43
graphics/TitleMonsterImage3.png,145,200,48,44
graphics/TitleMonsterImage3.png,211,201,48,43
graphics/TitleMonsterImage3.png,280,200,45,44
graphics/TitleMonsterImage3.png,349,198,41,46
graphics/TitleMonsterImage3.png,416,198,39,46
graphics/TitleMonsterImage3.png,483,198,40,46
graphics/TitleMonsterImage3.png,550,198,41,46
graphics/TitleMonsterImage3.png,615,200,44,44
graphics/TitleMonsterImage3.png,11,264,45,43
graphics/TitleMonsterImage3.png,78,263,46,44
graphics/TitleMonsterImage3.png,144,264,46,43
graphics/TitleMonsterImage3.png,213,263,43,44
graphics/TitleMonsterImage3.png,282,261,40,46
graphics/TitleMonsterImage3.png,349,261,39,46
graphics/TitleMonsterImage3.png,416,261,39,46
graphics/TitleMonsterImage3.png,483,261,39,46
graphics/TitleMonsterImage3.png,550,261,39,46
graphics/TitleMonsterImage3.png,616,262,40,45
graphics/TitleMonsterImage3.png,14,324,39,46
graphics/TitleMonsterImage3.png,81,324,39,46
graphics/TitleMonsterImage3.png,148,324,39,46
graphics/TitleMonsterImage3.png,215,324,43,46
graphics/TitleMonsterImage3.png,282,324,45,46
graphics/TitleMonsterImage3.png,349,324,43,46
graphics/TitleMonsterImage3.png,416,324,39,46
graphics/TitleMonsterImage3.png,483,324,43,46
graphics/TitleMonsterImage3.png,550,324,45,46
graphics/TitleMonsterImage3.png,617,324,43,46
graphics/TitleMonsterImage3.png,14,387,39,46
graphics/TitleMonsterImage3.png,81,387,39,46
