ID,FPS,LOOPTYPE,,
TitleMonsterImage2,8,1,,
,,,,
TEXTURE_ID,LEFT,TOP,WIDTH,HEIGHT
graphics/TitleMonsterImage2.png,506,112,83,91
graphics/TitleMonsterImage2.png,612,120,96,85
graphics/TitleMonsterImage2.png,717,151,107,60
graphics/TitleMonsterImage2.png,830,150,90,57
graphics/TitleMonsterImage2.png,942,123,98,82
graphics/TitleMonsterImage2.png,65,214,83,89
graphics/TitleMonsterImage2.png,175,216,83,92
graphics/TitleMonsterImage2.png,281,224,96,83
graphics/TitleMonsterImage2.png,392,233,98,80
graphics/TitleMonsterImage2.png,496,255,107,60
graphics/TitleMonsterImage2.png,609,262,90,51
graphics/TitleMonsterImage2.png,721,227,98,81
graphics/TitleMonsterImage2.png,835,214,83,91
graphics/TitleMonsterImage2.png,945,216,83,91
